2025-11-20 19:30:21,532 | DQN_CartPole | INFO | Episode: 89/1000, Score: 44.00, Steps: 56, Epsilon: 0.643
2025-11-20 19:30:21,540 | DQN_CartPole | INFO | Episode: 90/1000, Score: 1.00, Steps: 13, Epsilon: 0.640
2025-11-20 19:30:21,558 | DQN_CartPole | INFO | Episode: 91/1000, Score: 22.00, Steps: 34, Epsilon: 0.637
2025-11-20 19:30:21,575 | DQN_CartPole | INFO | Episode: 92/1000, Score: 28.00, Steps: 40, Epsilon: 0.634
2025-11-20 19:30:21,591 | DQN_CartPole | INFO | Episode: 93/1000, Score: 17.00, Steps: 29, Epsilon: 0.631
2025-11-20 19:30:21,611 | DQN_CartPole | INFO | Episode: 94/1000, Score: 67.00, Steps: 79, Epsilon: 0.627
2025-11-20 19:30:21,626 | DQN_CartPole | INFO | Episode: 95/1000, Score: 41.00, Steps: 53, Epsilon: 0.624
2025-11-20 19:30:21,640 | DQN_CartPole | INFO | Episode: 96/1000, Score: 4.00, Steps: 16, Epsilon: 0.621
2025-11-20 19:30:21,651 | DQN_CartPole | INFO | Episode: 97/1000, Score: 18.00, Steps: 30, Epsilon: 0.618
2025-11-20 19:30:21,668 | DQN_CartPole | INFO | Episode: 98/1000, Score: 34.00, Steps: 46, Epsilon: 0.615
2025-11-20 19:30:21,683 | DQN_CartPole | INFO | Episode: 99/1000, Score: 18.00, Steps: 30, Epsilon: 0.612
2025-11-20 19:30:21,699 | DQN_CartPole | INFO | Episode: 100/1000, Score: 10.00, Steps: 22, Epsilon: 0.609
2025-11-20 19:30:21,713 | DQN_CartPole | INFO | Episode: 101/1000, Score: 28.00, Steps: 40, Epsilon: 0.606
2025-11-20 19:30:21,732 | DQN_CartPole | INFO | Episode: 102/1000, Score: 27.00, Steps: 39, Epsilon: 0.603
2025-11-20 19:30:21,745 | DQN_CartPole | INFO | Episode: 103/1000, Score: 16.00, Steps: 28, Epsilon: 0.600
2025-11-20 19:30:21,761 | DQN_CartPole | INFO | Episode: 104/1000, Score: 12.00, Steps: 24, Epsilon: 0.597
2025-11-20 19:30:21,776 | DQN_CartPole | INFO | Episode: 105/1000, Score: 48.00, Steps: 60, Epsilon: 0.594
2025-11-20 19:30:21,792 | DQN_CartPole | INFO | Episode: 106/1000, Score: 30.00, Steps: 42, Epsilon: 0.591
2025-11-20 19:30:21,812 | DQN_CartPole | INFO | Episode: 107/1000, Score: 29.00, Steps: 41, Epsilon: 0.588
2025-11-20 19:30:21,829 | DQN_CartPole | INFO | Episode: 108/1000, Score: 9.00, Steps: 21, Epsilon: 0.585
2025-11-20 19:30:21,866 | DQN_CartPole | INFO | Episode: 109/1000, Score: 116.00, Steps: 128, Epsilon: 0.582
2025-11-20 19:30:21,886 | DQN_CartPole | INFO | Episode: 110/1000, Score: 30.00, Steps: 42, Epsilon: 0.579
2025-11-20 19:30:21,903 | DQN_CartPole | INFO | Episode: 111/1000, Score: 15.00, Steps: 27, Epsilon: 0.576
2025-11-20 19:30:21,923 | DQN_CartPole | INFO | Episode: 112/1000, Score: 35.00, Steps: 47, Epsilon: 0.573
2025-11-20 19:30:21,944 | DQN_CartPole | INFO | Episode: 113/1000, Score: 42.00, Steps: 54, Epsilon: 0.570
2025-11-20 19:30:21,964 | DQN_CartPole | INFO | Episode: 114/1000, Score: 50.00, Steps: 62, Epsilon: 0.568
2025-11-20 19:30:21,988 | DQN_CartPole | INFO | Episode: 115/1000, Score: 84.00, Steps: 96, Epsilon: 0.565
2025-11-20 19:30:22,005 | DQN_CartPole | INFO | Episode: 116/1000, Score: 20.00, Steps: 32, Epsilon: 0.562
2025-11-20 19:30:22,023 | DQN_CartPole | INFO | Episode: 117/1000, Score: 42.00, Steps: 54, Epsilon: 0.559
2025-11-20 19:30:22,038 | DQN_CartPole | INFO | Episode: 118/1000, Score: 27.00, Steps: 39, Epsilon: 0.556
2025-11-20 19:30:22,054 | DQN_CartPole | INFO | Episode: 119/1000, Score: 37.00, Steps: 49, Epsilon: 0.554
2025-11-20 19:30:22,076 | DQN_CartPole | INFO | Episode: 120/1000, Score: 35.00, Steps: 47, Epsilon: 0.551
2025-11-20 19:30:22,095 | DQN_CartPole | INFO | Episode: 121/1000, Score: 14.00, Steps: 26, Epsilon: 0.548
2025-11-20 19:30:22,110 | DQN_CartPole | INFO | Episode: 122/1000, Score: 4.00, Steps: 16, Epsilon: 0.545
